Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
1820,4,0,ortools_cp,0,-1.284699e6,36.236096669000005,ab51-40-100,2426
1821,4,0,ortools_cp,1,-1.284701e6,31.092217549,ab51-40-100,2426
1822,4,0,ortools_cp,2,-1.278841e6,40.897255703,ab51-40-100,2426
1823,4,0,ortools_cp,3,-1.284331e6,31.744353746,ab51-40-100,2426
1824,4,0,ortools_cp,4,-1.284701e6,54.442566157,ab51-40-100,2426
1825,4,1,ortools_cp,0,-1.167348e6,38.020439649,ab67-40-100,2231
1826,4,1,ortools_cp,1,-1.162799e6,29.117357468,ab67-40-100,2231
1827,4,1,ortools_cp,2,-1.161575e6,38.881274708,ab67-40-100,2231
1828,4,1,ortools_cp,3,-1.166894e6,29.416699178,ab67-40-100,2231
1829,4,1,ortools_cp,4,-1.16374e6,28.576875762,ab67-40-100,2231
1830,4,2,ortools_cp,0,-1.157698e6,67.545029634,ab69-40-100,2253
1831,4,2,ortools_cp,1,-1.157698e6,50.507992273000006,ab69-40-100,2253
1832,4,2,ortools_cp,2,-1.157698e6,50.311643369,ab69-40-100,2253
1833,4,2,ortools_cp,3,-1.157698e6,53.718850435,ab69-40-100,2253
1834,4,2,ortools_cp,4,-1.157698e6,58.251438847,ab69-40-100,2253
1835,4,3,ortools_cp,0,-1.919864e6,26.451615777,ab71-20-100,1081
1836,4,3,ortools_cp,1,-1.919864e6,41.299332724,ab71-20-100,1081
1837,4,3,ortools_cp,2,-1.919864e6,33.422783326,ab71-20-100,1081
1838,4,3,ortools_cp,3,-1.919864e6,26.281096277000003,ab71-20-100,1081
1839,4,3,ortools_cp,4,-1.919864e6,26.259033010000003,ab71-20-100,1081
1840,4,4,ortools_cp,0,-1.1854e6,145.267609604,ab72-40-100,2282
1841,4,4,ortools_cp,1,-1.1854e6,94.806991217,ab72-40-100,2282
1842,4,4,ortools_cp,2,-1.1854e6,100.789313582,ab72-40-100,2282
1843,4,4,ortools_cp,3,-1.1852e6,118.305497704,ab72-40-100,2282
1844,4,4,ortools_cp,4,-1.180201e6,113.197482977,ab72-40-100,2282
1845,4,5,ortools_cp,0,75547.0,1.636800722,app2-1,14
1846,4,5,ortools_cp,1,75547.0,1.818650238,app2-1,14
1847,4,5,ortools_cp,2,75547.0,1.7873135320000002,app2-1,14
1848,4,5,ortools_cp,3,75547.0,1.412809367,app2-1,14
1849,4,5,ortools_cp,4,75547.0,1.5348340770000002,app2-1,14
1850,4,6,ortools_cp,0,612936.0,0.6617454530000001,app2-2,0
1851,4,6,ortools_cp,1,612933.0,0.6319045990000001,app2-2,0
1852,4,6,ortools_cp,2,612922.0,0.6227907060000001,app2-2,0
