Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
500,5,300,scip_knapsack,0,-39064317775,1440.621688,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
501,5,300,scip_knapsack,1,-39064320786,3600.024342,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
502,5,300,scip_knapsack,2,-39064299329,1221.988697,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
503,5,300,scip_knapsack,3,-39064316809,1413.662931,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
504,5,300,scip_knapsack,4,-39064318822,1398.904774,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
505,5,301,scip_knapsack,0,-44397821758,3600.007652,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
506,5,301,scip_knapsack,1,-44397828438,3600.082112,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
507,5,301,scip_knapsack,2,-44397815916,3600.002279,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
508,5,301,scip_knapsack,3,-44397826893,3600.007229,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
509,5,301,scip_knapsack,4,-44397834245,3600.16683,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
510,5,302,scip_knapsack,0,-46301729394,3600.062787,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
511,5,302,scip_knapsack,1,-46301690046,3600.003472,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
512,5,302,scip_knapsack,2,-46301690498,3600.009452,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
513,5,302,scip_knapsack,3,-46301667741,3600.005644,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
514,5,302,scip_knapsack,4,-46301661113,3600.004458,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
515,5,303,scip_knapsack,0,-43764098146,3600.014867,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
516,5,303,scip_knapsack,1,-43764091543,3600.232532,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
517,5,303,scip_knapsack,2,-43764090364,3600.241313,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
518,5,303,scip_knapsack,3,-43764097611,3600.016325,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
519,5,303,scip_knapsack,4,-43764065849,3600.017682,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
520,5,304,scip_knapsack,0,-43632721135,3600.032212,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
521,5,304,scip_knapsack,1,-43632719669,3600.021813,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
522,5,304,scip_knapsack,2,-43632766708,3600.030339,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
523,5,304,scip_knapsack,3,-43632721135,3600.066794,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
524,5,304,scip_knapsack,4,-43632712547,3600.038619,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
525,5,305,scip_knapsack,0,-41278139130,3600.023806,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
526,5,305,scip_knapsack,1,-41278132764,3600.044682,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
527,5,305,scip_knapsack,2,-41278114360,3600.008426,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
528,5,305,scip_knapsack,3,-41278134193,3600.036939,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
529,5,305,scip_knapsack,4,-41278138426,3600.038149,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
530,5,306,scip_knapsack,0,-41673646893,114.320663,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
531,5,306,scip_knapsack,1,-41673625408,96.77537,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
532,5,306,scip_knapsack,2,-41673653754,102.456434,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
533,5,306,scip_knapsack,3,-41673647829,101.301971,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
534,5,306,scip_knapsack,4,-41673651638,103.361365,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
535,5,307,scip_knapsack,0,-43107446813,109.445509,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
536,5,307,scip_knapsack,1,-43107451082,3600.00772,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
537,5,307,scip_knapsack,2,-43107452744,109.082158,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
538,5,307,scip_knapsack,3,-43107443342,114.212031,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
539,5,307,scip_knapsack,4,-43107460997,3600.010392,knapsack_clustered_n100000_k200_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
540,5,308,scip_knapsack,0,-42468906385,931.234481,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
541,5,308,scip_knapsack,1,-42468884450,458.071921,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
542,5,308,scip_knapsack,2,-42468857381,3600.036559,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
543,5,308,scip_knapsack,3,-42468890842,3600.022005,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
544,5,308,scip_knapsack,4,-42468880054,3600.024058,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
545,5,309,scip_knapsack,0,-42530049696,400.710643,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
546,5,309,scip_knapsack,1,-42530040526,344.277263,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
547,5,309,scip_knapsack,2,-42529998484,338.197207,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
548,5,309,scip_knapsack,3,-42530049792,331.300764,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
549,5,309,scip_knapsack,4,-42530047982,347.784981,knapsack_clustered_n100000_k350_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
550,5,310,scip_knapsack,0,-42448272818,95.857339,knapsack_clustered_n100000_k350_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
551,5,310,scip_knapsack,1,-42448272818,94.492815,knapsack_clustered_n100000_k350_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
552,5,310,scip_knapsack,2,-42448272818,86.509559,knapsack_clustered_n100000_k350_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
