bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
0,215,scip,3,1144634416,3600.154114,facLoc_1000_500_3_8,0
0,215,scip,4,1144632643,3600.402732,facLoc_1000_500_3_8,0
0,216,scip,0,860917550,1041.784593,facLoc_1000_50_21_5,0
0,216,scip,1,860917550,1685.657793,facLoc_1000_50_21_5,0
0,216,scip,2,860917550,1487.294228,facLoc_1000_50_21_5,0
0,216,scip,3,860917550,3600.013566,facLoc_1000_50_21_5,0
0,216,scip,4,860917550,1411.462459,facLoc_1000_50_21_5,0
0,217,scip,0,842405000,3600.001158,facLoc_1000_50_33_3,0
0,217,scip,1,842393000,3600.001501,facLoc_1000_50_33_3,0
0,217,scip,2,842408000,3600.001073,facLoc_1000_50_33_3,0
0,217,scip,3,842407000,3600.002155,facLoc_1000_50_33_3,0
0,217,scip,4,842396000,3600.001788,facLoc_1000_50_33_3,0
0,218,scip,0,839022850,3600.001951,facLoc_1000_50_37_8,0
0,218,scip,1,838996159,3600.007198,facLoc_1000_50_37_8,0
0,218,scip,2,838982490,3600.005717,facLoc_1000_50_37_8,0
0,218,scip,3,838982987,3600.002426,facLoc_1000_50_37_8,0
0,218,scip,4,838956269,3600.001575,facLoc_1000_50_37_8,0
0,219,scip,0,834200000,3600.001282,facLoc_1000_50_39_1,381
0,219,scip,1,834200000,3600.001351,facLoc_1000_50_39_1,381
0,219,scip,2,834200000,3600.001497,facLoc_1000_50_39_1,381
0,219,scip,3,834200000,3600.005568,facLoc_1000_50_39_1,381
0,219,scip,4,834200000,3600.002227,facLoc_1000_50_39_1,381
0,220,scip,0,180900000,1.308501,facLoc_100_100_1_1,14
0,220,scip,1,180900000,0.975133,facLoc_100_100_1_1,14
0,220,scip,2,180900000,0.372521,facLoc_100_100_1_1,14
0,220,scip,3,180900000,1.496906,facLoc_100_100_1_1,14
0,220,scip,4,180900000,0.931797,facLoc_100_100_1_1,14
0,221,scip,0,182406000,0.32484799999999997,facLoc_100_100_1_3,0
0,221,scip,1,182406000,0.873188,facLoc_100_100_1_3,0
0,221,scip,2,182406000,0.239193,facLoc_100_100_1_3,0
0,221,scip,3,182406000,0.402744,facLoc_100_100_1_3,0
0,221,scip,4,182406000,0.407128,facLoc_100_100_1_3,0
0,222,scip,0,181519770,0.320672,facLoc_100_100_1_5,0
0,222,scip,1,181519770,0.33775499999999997,facLoc_100_100_1_5,0
0,222,scip,2,181519770,0.351346,facLoc_100_100_1_5,0
0,222,scip,3,181519770,0.515822,facLoc_100_100_1_5,0
0,222,scip,4,181519770,0.332677,facLoc_100_100_1_5,0
0,223,scip,0,181798984,0.30802999999999997,facLoc_100_100_1_8,0
0,223,scip,1,181798984,0.476897,facLoc_100_100_1_8,0
0,223,scip,2,181798984,0.312417,facLoc_100_100_1_8,0
0,223,scip,3,181798984,0.30655499999999997,facLoc_100_100_1_8,0
0,223,scip,4,181798984,0.311143,facLoc_100_100_1_8,0
0,224,scip,0,102200000,0.075497,facLoc_100_20_5_1,38
0,224,scip,1,102200000,0.061679,facLoc_100_20_5_1,38
0,224,scip,2,102200000,0.070266,facLoc_100_20_5_1,38
0,224,scip,3,102200000,0.069476,facLoc_100_20_5_1,38
