Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
0,4,200,scip,0,925222590,12.310729,facLoc_1000_100_10_5,137
1,4,200,scip,1,923714570,13.645851,facLoc_1000_100_10_5,137
2,4,200,scip,2,924419760,12.277977,facLoc_1000_100_10_5,137
3,4,200,scip,3,923539940,13.473472,facLoc_1000_100_10_5,137
4,4,200,scip,4,924501580,13.602467,facLoc_1000_100_10_5,137
5,4,201,scip,0,886089000,3600.105695,facLoc_1000_100_16_3,148
6,4,201,scip,1,886144000,3600.00249,facLoc_1000_100_16_3,148
7,4,201,scip,2,885766000,3600.003074,facLoc_1000_100_16_3,148
8,4,201,scip,3,884860000,3600.0024,facLoc_1000_100_16_3,148
9,4,201,scip,4,885640000,3600.003464,facLoc_1000_100_16_3,148
10,4,202,scip,0,886765496,3600.002054,facLoc_1000_100_16_8,160
11,4,202,scip,1,887332132,3600.00199,facLoc_1000_100_16_8,160
12,4,202,scip,2,886454286,3600.002344,facLoc_1000_100_16_8,160
13,4,202,scip,3,887868560,3600.002274,facLoc_1000_100_16_8,160
14,4,202,scip,4,886949790,3600.002135,facLoc_1000_100_16_8,160
15,4,203,scip,0,861900000,3600.10136,facLoc_1000_100_19_1,192
16,4,203,scip,1,861900000,3600.002267,facLoc_1000_100_19_1,192
17,4,203,scip,2,861900000,3600.002174,facLoc_1000_100_19_1,192
18,4,203,scip,3,861900000,3600.001378,facLoc_1000_100_19_1,192
19,4,203,scip,4,861900000,3600.00223,facLoc_1000_100_19_1,192
20,4,204,scip,0,839599928,3600.000689,facLoc_1000_20_76_8,626
21,4,204,scip,1,838250562,3600.000645,facLoc_1000_20_76_8,626
22,4,204,scip,2,839472737,3600.000753,facLoc_1000_20_76_8,626
23,4,204,scip,3,839532176,3600.001198,facLoc_1000_20_76_8,626
24,4,204,scip,4,837470919,3600.002107,facLoc_1000_20_76_8,626
25,4,205,scip,0,835683000,3308.669877,facLoc_1000_20_79_3,616
26,4,205,scip,1,835186000,3600.003062,facLoc_1000_20_79_3,616
28,4,205,scip,2,836545000,2186.49327,facLoc_1000_20_79_3,616
27,4,205,scip,3,835491000,2134.147802,facLoc_1000_20_79_3,616
29,4,205,scip,4,836776000,1847.090196,facLoc_1000_20_79_3,616
30,4,206,scip,0,837761470,3600.001773,facLoc_1000_20_81_5,623
31,4,206,scip,1,836113680,3600.00064,facLoc_1000_20_81_5,623
32,4,206,scip,2,837962930,3600.001646,facLoc_1000_20_81_5,623
33,4,206,scip,3,836669950,3600.000662,facLoc_1000_20_81_5,623
34,4,206,scip,4,837334440,3600.002959,facLoc_1000_20_81_5,623
35,4,207,scip,0,818700000,3600.001041,facLoc_1000_20_90_1,725
36,4,207,scip,1,818700000,3600.000697,facLoc_1000_20_90_1,725
37,4,207,scip,2,818700000,3600.001051,facLoc_1000_20_90_1,725
38,4,207,scip,3,818700000,3600.000839,facLoc_1000_20_90_1,725
39,4,207,scip,4,818700000,3600.000542,facLoc_1000_20_90_1,725
40,4,208,scip,0,1073767140,46.887829,facLoc_1000_250_4_5,81
41,4,208,scip,1,1073368850,48.011187,facLoc_1000_250_4_5,81
42,4,208,scip,2,1074149230,52.043795,facLoc_1000_250_4_5,81
43,4,208,scip,3,1074367230,43.501845,facLoc_1000_250_4_5,81
44,4,208,scip,4,1073622290,47.731392,facLoc_1000_250_4_5,81
45,4,209,scip,0,1024162000,79.587987,facLoc_1000_250_5_3,70
46,4,209,scip,1,1023275000,52.538933,facLoc_1000_250_5_3,70
47,4,209,scip,2,1023088000,64.366907,facLoc_1000_250_5_3,70
48,4,209,scip,3,1023252000,79.081968,facLoc_1000_250_5_3,70
49,4,209,scip,4,1023005000,101.548898,facLoc_1000_250_5_3,70
50,4,210,scip,0,1027233910,45.344279,facLoc_1000_250_5_8,82
51,4,210,scip,1,1024535111,237.052084,facLoc_1000_250_5_8,82
52,4,210,scip,2,1025463363,52.888526,facLoc_1000_250_5_8,82
53,4,210,scip,3,1026007359,59.982356,facLoc_1000_250_5_8,82
54,4,210,scip,4,1026269584,64.43476,facLoc_1000_250_5_8,82
55,4,211,scip,0,975200000,3600.022366,facLoc_1000_250_6_1,112
56,4,211,scip,1,975200000,3600.003204,facLoc_1000_250_6_1,112
57,4,211,scip,2,975200000,3600.002715,facLoc_1000_250_6_1,112
58,4,211,scip,3,975200000,3600.046158,facLoc_1000_250_6_1,112
59,4,211,scip,4,975200000,3600.057275,facLoc_1000_250_6_1,112
60,4,212,scip,0,1324945000,370.415203,facLoc_1000_500_2_3,82
61,4,212,scip,1,1325301000,221.052295,facLoc_1000_500_2_3,82
62,4,212,scip,2,1324435000,329.56988,facLoc_1000_500_2_3,82
63,4,212,scip,3,1324594000,261.022403,facLoc_1000_500_2_3,82
64,4,212,scip,4,1324731000,240.769218,facLoc_1000_500_2_3,82
65,4,213,scip,0,1323140880,456.500243,facLoc_1000_500_2_5,64
66,4,213,scip,1,1324006920,446.015579,facLoc_1000_500_2_5,64
67,4,213,scip,2,1323894100,405.337622,facLoc_1000_500_2_5,64
68,4,213,scip,3,1323786840,488.635402,facLoc_1000_500_2_5,64
69,4,213,scip,4,1323404420,476.14829,facLoc_1000_500_2_5,64
70,4,214,scip,0,1140000000,3600.164165,facLoc_1000_500_3_1,64
71,4,214,scip,1,1140000000,3600.038429,facLoc_1000_500_3_1,64
72,4,214,scip,2,1140000000,3600.037963,facLoc_1000_500_3_1,64
73,4,214,scip,3,1140000000,3600.083314,facLoc_1000_500_3_1,64
74,4,214,scip,4,1140000000,3600.088159,facLoc_1000_500_3_1,64
75,4,215,scip,0,1161551895,3600.017959,facLoc_1000_500_3_8,65
76,4,215,scip,1,1160151131,3600.115688,facLoc_1000_500_3_8,65
77,4,215,scip,2,1157934585,3600.009198,facLoc_1000_500_3_8,65
79,4,215,scip,3,1158262233,3600.176349,facLoc_1000_500_3_8,65
78,4,215,scip,4,1160604205,3600.073218,facLoc_1000_500_3_8,65
80,4,216,scip,0,875161610,3600.00736,facLoc_1000_50_21_5,303
81,4,216,scip,1,875240390,3600.001736,facLoc_1000_50_21_5,303
82,4,216,scip,2,875836900,694.075887,facLoc_1000_50_21_5,303
84,4,216,scip,3,874820780,3600.000722,facLoc_1000_50_21_5,303
83,4,216,scip,4,874420910,543.531689,facLoc_1000_50_21_5,303
85,4,217,scip,0,854777000,3600.002108,facLoc_1000_50_33_3,292
86,4,217,scip,1,856745000,3600.001863,facLoc_1000_50_33_3,292
87,4,217,scip,2,855422000,3600.002039,facLoc_1000_50_33_3,292
88,4,217,scip,3,855631000,3600.001862,facLoc_1000_50_33_3,292
89,4,217,scip,4,854783000,3600.001818,facLoc_1000_50_33_3,292
90,4,218,scip,0,852304998,3600.001705,facLoc_1000_50_37_8,291
91,4,218,scip,1,852461102,3600.008828,facLoc_1000_50_37_8,291
92,4,218,scip,2,851136711,3600.001554,facLoc_1000_50_37_8,291
93,4,218,scip,3,852361724,3600.001861,facLoc_1000_50_37_8,291
94,4,218,scip,4,852224166,3600.001806,facLoc_1000_50_37_8,291
95,4,219,scip,0,834200000,3600.001375,facLoc_1000_50_39_1,381
96,4,219,scip,1,834200000,3600.001366,facLoc_1000_50_39_1,381
97,4,219,scip,2,834200000,3600.001327,facLoc_1000_50_39_1,381
98,4,219,scip,3,834200000,3600.00176,facLoc_1000_50_39_1,381
99,4,219,scip,4,834200000,3600.001588,facLoc_1000_50_39_1,381
100,4,220,scip,0,180900000,1.413876,facLoc_100_100_1_1,14
101,4,220,scip,1,180900000,0.6692239999999999,facLoc_100_100_1_1,14
102,4,220,scip,2,180900000,0.428587,facLoc_100_100_1_1,14
103,4,220,scip,3,180900000,0.381126,facLoc_100_100_1_1,14
104,4,220,scip,4,180900000,0.797511,facLoc_100_100_1_1,14
105,4,221,scip,0,183983000,0.962093,facLoc_100_100_1_3,9
106,4,221,scip,1,183928000,0.783171,facLoc_100_100_1_3,9
107,4,221,scip,2,183973000,0.7740079999999999,facLoc_100_100_1_3,9
108,4,221,scip,3,183777000,0.861355,facLoc_100_100_1_3,9
109,4,221,scip,4,183930000,0.725572,facLoc_100_100_1_3,9
110,4,222,scip,0,183060260,0.37885,facLoc_100_100_1_5,9
111,4,222,scip,1,182852380,1.016232,facLoc_100_100_1_5,9
112,4,222,scip,2,182857770,0.371823,facLoc_100_100_1_5,9
113,4,222,scip,3,182715610,0.921004,facLoc_100_100_1_5,9
114,4,222,scip,4,182746410,0.920278,facLoc_100_100_1_5,9
115,4,223,scip,0,183479367,0.32462599999999997,facLoc_100_100_1_8,10
116,4,223,scip,1,183533275,0.30676,facLoc_100_100_1_8,10
117,4,223,scip,2,183135425,0.331379,facLoc_100_100_1_8,10
118,4,223,scip,3,183273491,0.398356,facLoc_100_100_1_8,10
119,4,223,scip,4,183335212,0.288296,facLoc_100_100_1_8,10
120,4,224,scip,0,102200000,0.059618,facLoc_100_20_5_1,38
