Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
0,3,200,scip,0,944978200,24.268061,facLoc_1000_100_10_5,293
1,3,200,scip,1,946075400,23.294032,facLoc_1000_100_10_5,293
2,3,200,scip,2,945333020,20.144418,facLoc_1000_100_10_5,293
3,3,200,scip,3,946708000,22.367198,facLoc_1000_100_10_5,293
4,3,200,scip,4,945622600,27.422611,facLoc_1000_100_10_5,293
5,3,201,scip,0,907432000,3600.004511,facLoc_1000_100_16_3,300
6,3,201,scip,1,906509000,3600.007307,facLoc_1000_100_16_3,300
7,3,201,scip,2,904193000,3600.222658,facLoc_1000_100_16_3,300
8,3,201,scip,3,906211000,3600.082114,facLoc_1000_100_16_3,300
9,3,201,scip,4,906890000,3600.002569,facLoc_1000_100_16_3,300
10,3,202,scip,0,908299966,3600.002417,facLoc_1000_100_16_8,302
11,3,202,scip,1,908617718,3600.010664,facLoc_1000_100_16_8,302
12,3,202,scip,2,908921530,3600.008389,facLoc_1000_100_16_8,302
13,3,202,scip,3,907039688,3600.001796,facLoc_1000_100_16_8,302
14,3,202,scip,4,909165355,3600.003398,facLoc_1000_100_16_8,302
15,3,203,scip,0,919500000,3600.006499,facLoc_1000_100_19_1,592
16,3,203,scip,1,921000000,3600.002196,facLoc_1000_100_19_1,592
17,3,203,scip,2,921400000,3600.051394,facLoc_1000_100_19_1,592
18,3,203,scip,3,916400000,3600.01099,facLoc_1000_100_19_1,592
19,3,203,scip,4,917600000,3600.008204,facLoc_1000_100_19_1,592
20,3,204,scip,0,862550635,3600.000936,facLoc_1000_20_76_8,820
21,3,204,scip,1,861044786,2123.157375,facLoc_1000_20_76_8,820
22,3,204,scip,2,859229908,824.502907,facLoc_1000_20_76_8,820
23,3,204,scip,3,859607303,3600.000867,facLoc_1000_20_76_8,820
24,3,204,scip,4,861923399,3600.001007,facLoc_1000_20_76_8,820
25,3,205,scip,0,857168000,154.176844,facLoc_1000_20_79_3,806
26,3,205,scip,1,859205000,59.230968,facLoc_1000_20_79_3,806
27,3,205,scip,2,856504000,614.500402,facLoc_1000_20_79_3,806
28,3,205,scip,3,858648000,246.616378,facLoc_1000_20_79_3,806
29,3,205,scip,4,856404000,81.704541,facLoc_1000_20_79_3,806
30,3,206,scip,0,857870320,821.623987,facLoc_1000_20_81_5,813
31,3,206,scip,1,860187250,724.705702,facLoc_1000_20_81_5,813
32,3,206,scip,2,858571520,1331.388042,facLoc_1000_20_81_5,813
33,3,206,scip,3,857808260,2101.679622,facLoc_1000_20_81_5,813
34,3,206,scip,4,858774770,1014.60314,facLoc_1000_20_81_5,813
35,3,207,scip,0,877700000,3600.001987,facLoc_1000_20_90_1,908
36,3,207,scip,1,876400000,3600.000653,facLoc_1000_20_90_1,908
37,3,207,scip,2,878200000,3600.000594,facLoc_1000_20_90_1,908
38,3,207,scip,3,876600000,3600.000631,facLoc_1000_20_90_1,908
39,3,207,scip,4,876500000,3600.000494,facLoc_1000_20_90_1,908
40,3,208,scip,0,1094115440,728.484203,facLoc_1000_250_4_5,173
41,3,208,scip,1,1098225990,190.143281,facLoc_1000_250_4_5,173
42,3,208,scip,2,1094376610,148.377194,facLoc_1000_250_4_5,173
43,3,208,scip,3,1096198090,144.656821,facLoc_1000_250_4_5,173
44,3,208,scip,4,1095386750,138.924439,facLoc_1000_250_4_5,173
45,3,209,scip,0,1047444000,166.546311,facLoc_1000_250_5_3,197
46,3,209,scip,1,1046788000,261.907501,facLoc_1000_250_5_3,197
47,3,209,scip,2,1046316000,315.512529,facLoc_1000_250_5_3,197
49,3,209,scip,3,1044289000,226.16025,facLoc_1000_250_5_3,197
48,3,209,scip,4,1045811000,359.360083,facLoc_1000_250_5_3,197
51,3,210,scip,0,1047490613,407.197149,facLoc_1000_250_5_8,181
50,3,210,scip,1,1047194312,148.922168,facLoc_1000_250_5_8,181
52,3,210,scip,2,1047001847,164.009044,facLoc_1000_250_5_8,181
53,3,210,scip,3,1047422009,247.450026,facLoc_1000_250_5_8,181
54,3,210,scip,4,1044714160,363.034927,facLoc_1000_250_5_8,181
55,3,211,scip,0,1032800000,3600.093158,facLoc_1000_250_6_1,255
56,3,211,scip,1,1032500000,3600.031031,facLoc_1000_250_6_1,255
57,3,211,scip,2,1033900000,3600.046588,facLoc_1000_250_6_1,255
58,3,211,scip,3,1030800000,3600.034959,facLoc_1000_250_6_1,255
60,3,211,scip,4,1031700000,3600.047709,facLoc_1000_250_6_1,255
59,3,212,scip,0,1346697000,492.678925,facLoc_1000_500_2_3,127
62,3,212,scip,1,1346097000,692.810245,facLoc_1000_500_2_3,127
61,3,212,scip,2,1348623000,695.140817,facLoc_1000_500_2_3,127
63,3,212,scip,3,1347281000,574.378314,facLoc_1000_500_2_3,127
64,3,212,scip,4,1347077000,495.832767,facLoc_1000_500_2_3,127
65,3,213,scip,0,1346133580,450.886456,facLoc_1000_500_2_5,127
66,3,213,scip,1,1346487500,741.564219,facLoc_1000_500_2_5,127
67,3,213,scip,2,1345843310,710.048098,facLoc_1000_500_2_5,127
68,3,213,scip,3,1346198700,441.135102,facLoc_1000_500_2_5,127
69,3,213,scip,4,1345635760,559.324258,facLoc_1000_500_2_5,127
70,3,214,scip,0,1197700000,3600.019637,facLoc_1000_500_3_1,127
71,3,214,scip,1,1196900000,3600.228074,facLoc_1000_500_3_1,127
72,3,214,scip,2,1196000000,3600.244406,facLoc_1000_500_3_1,127
73,3,214,scip,3,1198800000,3600.011095,facLoc_1000_500_3_1,127
74,3,214,scip,4,1199100000,3600.022287,facLoc_1000_500_3_1,127
75,3,215,scip,0,1181127159,3600.532424,facLoc_1000_500_3_8,127
76,3,215,scip,1,1182321865,3600.062217,facLoc_1000_500_3_8,127
77,3,215,scip,2,1181728177,3600.02933,facLoc_1000_500_3_8,127
78,3,215,scip,3,1180139658,3600.298662,facLoc_1000_500_3_8,127
79,3,215,scip,4,1182737413,3600.010526,facLoc_1000_500_3_8,127
80,3,216,scip,0,896979430,1577.415035,facLoc_1000_50_21_5,510
81,3,216,scip,1,896024740,1025.485756,facLoc_1000_50_21_5,510
82,3,216,scip,2,897019100,3600.001115,facLoc_1000_50_21_5,510
84,3,216,scip,3,898512250,1443.537872,facLoc_1000_50_21_5,510
83,3,216,scip,4,896983500,3600.001642,facLoc_1000_50_21_5,510
85,3,217,scip,0,879193000,3600.002046,facLoc_1000_50_33_3,499
86,3,217,scip,1,878081000,3600.001383,facLoc_1000_50_33_3,499
89,3,217,scip,2,879374000,3600.001733,facLoc_1000_50_33_3,499
88,3,217,scip,3,877879000,3600.00171,facLoc_1000_50_33_3,499
87,3,217,scip,4,878249000,3600.001829,facLoc_1000_50_33_3,499
90,3,218,scip,0,874211227,3600.001182,facLoc_1000_50_37_8,509
91,3,218,scip,1,872654666,3600.008207,facLoc_1000_50_37_8,509
92,3,218,scip,2,872626357,3600.001055,facLoc_1000_50_37_8,509
93,3,218,scip,3,874994766,3600.001837,facLoc_1000_50_37_8,509
95,3,218,scip,4,873318923,3600.001019,facLoc_1000_50_37_8,509
94,3,219,scip,0,894000000,3600.001271,facLoc_1000_50_39_1,718
96,3,219,scip,1,893900000,3600.007749,facLoc_1000_50_39_1,718
97,3,219,scip,2,890900000,3600.011456,facLoc_1000_50_39_1,718
99,3,219,scip,3,890200000,3600.000942,facLoc_1000_50_39_1,718
98,3,219,scip,4,892800000,3600.001253,facLoc_1000_50_39_1,718
100,3,220,scip,0,186000000,1.787144,facLoc_100_100_1_1,74
101,3,220,scip,1,186700000,2.243863,facLoc_100_100_1_1,74
102,3,220,scip,2,186200000,1.644157,facLoc_100_100_1_1,74
103,3,220,scip,3,187200000,1.49564,facLoc_100_100_1_1,74
104,3,220,scip,4,186800000,3.383888,facLoc_100_100_1_1,74
105,3,221,scip,0,185897000,1.223756,facLoc_100_100_1_3,30
106,3,221,scip,1,185998000,1.228341,facLoc_100_100_1_3,30
107,3,221,scip,2,186091000,1.124623,facLoc_100_100_1_3,30
108,3,221,scip,3,186209000,0.936615,facLoc_100_100_1_3,30
109,3,221,scip,4,186572000,1.825525,facLoc_100_100_1_3,30
110,3,222,scip,0,184778780,1.615522,facLoc_100_100_1_5,26
111,3,222,scip,1,185224690,1.216863,facLoc_100_100_1_5,26
112,3,222,scip,2,184815350,1.710678,facLoc_100_100_1_5,26
113,3,222,scip,3,185001230,1.130779,facLoc_100_100_1_5,26
114,3,222,scip,4,184764030,0.961133,facLoc_100_100_1_5,26
115,3,223,scip,0,185391332,1.030641,facLoc_100_100_1_8,25
116,3,223,scip,1,186086095,0.8045789999999999,facLoc_100_100_1_8,25
117,3,223,scip,2,185491464,0.376229,facLoc_100_100_1_8,25
118,3,223,scip,3,185869854,0.8491799999999999,facLoc_100_100_1_8,25
119,3,223,scip,4,185172450,0.828522,facLoc_100_100_1_8,25
120,3,224,scip,0,106900000,0.064236,facLoc_100_20_5_1,56
121,3,224,scip,1,106800000,0.065945,facLoc_100_20_5_1,56
122,3,224,scip,2,107000000,0.064694,facLoc_100_20_5_1,56
123,3,224,scip,3,106800000,0.067174,facLoc_100_20_5_1,56
124,3,224,scip,4,107100000,0.064075,facLoc_100_20_5_1,56
125,3,225,scip,0,104825150,0.069432,facLoc_100_20_5_5,35
126,3,225,scip,1,105167410,0.063868,facLoc_100_20_5_5,35
127,3,225,scip,2,104752640,0.101069,facLoc_100_20_5_5,35
128,3,225,scip,3,105098850,0.065285,facLoc_100_20_5_5,35
129,3,225,scip,4,104886970,0.062669,facLoc_100_20_5_5,35
130,3,226,scip,0,100303772,42.909581,facLoc_100_20_7_8,39
131,3,226,scip,1,100774694,35.244375,facLoc_100_20_7_8,39
132,3,226,scip,2,100635120,35.434129,facLoc_100_20_7_8,39
133,3,226,scip,3,100669164,34.874352,facLoc_100_20_7_8,39
134,3,226,scip,4,100951329,64.434171,facLoc_100_20_7_8,39
135,3,227,scip,0,98586000,124.840771,facLoc_100_20_8_3,42
136,3,227,scip,1,98124000,124.785884,facLoc_100_20_8_3,42
137,3,227,scip,2,98746000,283.83425,facLoc_100_20_8_3,42
138,3,227,scip,3,98111000,124.765867,facLoc_100_20_8_3,42
139,3,227,scip,4,99155000,442.815346,facLoc_100_20_8_3,42
140,3,228,scip,0,186700000,6.040316,facLoc_100_250_1_1,209
141,3,228,scip,1,186700000,5.444477,facLoc_100_250_1_1,209
142,3,228,scip,2,186500000,2.501413,facLoc_100_250_1_1,209
143,3,228,scip,3,186500000,2.344467,facLoc_100_250_1_1,209
144,3,228,scip,4,186700000,4.696893,facLoc_100_250_1_1,209
145,3,229,scip,0,186431000,12.797557,facLoc_100_250_1_3,119
146,3,229,scip,1,186306000,8.505905,facLoc_100_250_1_3,119
147,3,229,scip,2,186773000,9.392618,facLoc_100_250_1_3,119
148,3,229,scip,3,186701000,14.901567,facLoc_100_250_1_3,119
150,3,229,scip,4,186957000,11.923681,facLoc_100_250_1_3,119
149,3,230,scip,0,185567290,16.085691,facLoc_100_250_1_5,116
151,3,230,scip,1,185954300,7.730964,facLoc_100_250_1_5,116
152,3,230,scip,2,186469180,7.279036,facLoc_100_250_1_5,116
153,3,230,scip,3,185822180,6.904735,facLoc_100_250_1_5,116
154,3,230,scip,4,185923870,16.507044,facLoc_100_250_1_5,116
155,3,231,scip,0,186840086,10.428775,facLoc_100_250_1_8,113
156,3,231,scip,1,186123189,18.904623,facLoc_100_250_1_8,113
157,3,231,scip,2,186089323,7.678935,facLoc_100_250_1_8,113
158,3,231,scip,3,186185280,12.834521,facLoc_100_250_1_8,113
159,3,231,scip,4,186134696,19.77479,facLoc_100_250_1_8,113
160,3,232,scip,0,186500000,13.412059,facLoc_100_500_1_1,463
161,3,232,scip,1,186200000,7.568694,facLoc_100_500_1_1,463
162,3,232,scip,2,186500000,16.559401,facLoc_100_500_1_1,463
163,3,232,scip,3,186200000,9.000875,facLoc_100_500_1_1,463
164,3,232,scip,4,186200000,8.171096,facLoc_100_500_1_1,463
165,3,233,scip,0,185900000,71.577288,facLoc_100_500_1_3,364
166,3,233,scip,1,185791000,104.355232,facLoc_100_500_1_3,364
167,3,233,scip,2,186050000,76.780694,facLoc_100_500_1_3,364
168,3,233,scip,3,186043000,80.962478,facLoc_100_500_1_3,364
169,3,233,scip,4,185991000,49.696391,facLoc_100_500_1_3,364
170,3,234,scip,0,186050540,57.799401,facLoc_100_500_1_5,339
171,3,234,scip,1,186118470,67.252901,facLoc_100_500_1_5,339
172,3,234,scip,2,186091540,71.464263,facLoc_100_500_1_5,339
173,3,234,scip,3,186160460,80.482195,facLoc_100_500_1_5,339
174,3,234,scip,4,186112270,71.006867,facLoc_100_500_1_5,339
175,3,235,scip,0,186777755,11.585067,facLoc_100_500_1_8,361
176,3,235,scip,1,186961479,12.24632,facLoc_100_500_1_8,361
177,3,235,scip,2,186632489,11.34452,facLoc_100_500_1_8,361
178,3,235,scip,3,186939130,7.837839,facLoc_100_500_1_8,361
180,3,235,scip,4,187012545,11.973814,facLoc_100_500_1_8,361
179,3,236,scip,0,137300000,0.202822,facLoc_100_50_2_1,45
181,3,236,scip,1,137000000,0.461324,facLoc_100_50_2_1,45
182,3,236,scip,2,137300000,0.197272,facLoc_100_50_2_1,45
183,3,236,scip,3,137200000,0.203725,facLoc_100_50_2_1,45
184,3,236,scip,4,137000000,0.223422,facLoc_100_50_2_1,45
186,3,237,scip,0,135424000,0.19854,facLoc_100_50_2_3,14
