bit_num,problem,mode,seed,Objective value,Primal-Dual Gap,Solving time,num_generators
3,0,scip,0,-1.284539e6,0.0,60.154333,1500
3,0,scip,1,-1.2806030000000002e6,0.0,44.755496,1500
3,0,scip,2,-1.279146e6,0.0,54.597227,1500
3,0,scip,3,-1.280297e6,0.0,50.304974,1500
3,0,scip,4,-1.2798070000000002e6,0.0,58.00926,1500
3,1,scip,0,-1.124898000000001e6,0.0,94.038251,1500
3,1,scip,1,-1.130127e6,0.0,110.455619,1500
3,1,scip,2,-1.124898e6,0.0,116.362451,1500
3,1,scip,3,-1.120093e6,0.0,95.790898,1500
3,1,scip,4,-1.1248980000000002e6,0.0,106.494397,1500
3,2,scip,0,-1.130317e6,0.0,119.199185,1500
3,2,scip,1,-1.1250180000000007e6,0.0,125.358972,1500
3,2,scip,2,-1.1307770000000002e6,0.0,133.890993,1500
3,2,scip,3,-1.1292490000000002e6,0.0,145.285522,1500
3,2,scip,4,-1.12934e6,0.0,141.626716,1500
3,3,scip,0,-1.918129000000016e6,0.0,38.375903,1160
3,3,scip,1,-1.918129e6,0.0,33.400003,1160
3,3,scip,2,-1.91883e6,0.0,30.296217,1160
3,3,scip,3,-1.91883e6,0.0,31.466725,1160
3,3,scip,4,-1.907255e6,0.0,28.921091,1160
3,4,scip,0,-1.153316e6,0.0,86.699796,1500
3,4,scip,1,-1.15265e6,0.0,106.075718,1500
3,4,scip,2,-1.153003e6,0.0,105.02556,1500
3,4,scip,3,-1.1551550000000002e6,0.0,90.929017,1500
3,4,scip,4,-1.157939e6,0.0,93.035262,1500
3,5,scip,0,75547.0,0.0,0.754208,37
3,5,scip,1,75547.0,0.0,0.738614,37
3,5,scip,2,75547.0,0.0,0.777864,37
3,5,scip,3,75547.0,0.0,0.724737,37
3,5,scip,4,75547.0,0.0,0.710866,37
3,6,scip,0,613331.0,0.0,0.174025,0
3,6,scip,1,613373.0,0.0,0.199563,0
3,6,scip,2,613385.0,0.0,0.18334,0
3,6,scip,3,613385.0,0.0,0.175123,0
3,6,scip,4,613331.0,0.0,0.16061599999999998,0
3,7,scip,0,-3.852722e6,0.019786900229371192,3600.000427,0
3,7,scip,1,-3.846775e6,0.02071326089619062,3600.001069,0
3,7,scip,2,-3.872391e6,0.01826889509513004,3600.00067,0
3,7,scip,3,-3.858514e6,0.018009228568437896,3600.001342,0
3,7,scip,4,-3.8656e6,0.019419391042415354,3600.001002,0
3,8,scip,0,-8.0139611e7,1.0e20,3600.005468,2
3,8,scip,1,-4.817236e6,0.040910007956353765,3600.004574,2
3,8,scip,2,-4.927150360122119e6,1.0e20,3600.020717,2
3,8,scip,3,-4.924043101351095e6,1.0e20,3600.017446,2
3,8,scip,4,-4.920324600527066e6,1.0e20,3600.016689,2
3,9,scip,0,-8.3324083e7,1.0e20,3600.215238,3
3,9,scip,1,-8.3324083e7,1.0e20,3600.150845,3
3,9,scip,2,-8.3324083e7,1.0e20,3600.113773,3
3,9,scip,3,-8.3324083e7,1.0e20,3600.944185,3
3,9,scip,4,-8.3324083e7,1.0e20,3600.193015,3
3,10,scip,0,-1.2255547e7,4.4841038518452086e-5,3600.001797,5
3,10,scip,1,-1.2264152e7,0.004136585803327205,3600.001469,5
3,10,scip,2,-1.2250626e7,0.0,1882.710744,5
3,10,scip,3,-1.2236536e7,4.4841038518452086e-5,3600.001413,5
3,10,scip,4,-1.2224742000000002e7,4.4841038518452086e-5,3600.004598,5
3,11,scip,0,-5.980678e6,0.04001229482784582,3600.003853,3
3,11,scip,1,-8.9769943e7,1.0e20,3600.010852,3
3,11,scip,2,-6.073063e6,0.014873880233644332,3600.020349,3
3,11,scip,3,-5.99829e6,0.03921772795609014,3600.047511,3
3,11,scip,4,-9.5452226e7,1.0e20,3600.005702,3
3,12,scip,0,1.474927e6,0.0,3190.045413,5
3,12,scip,1,1.474868e6,0.0022354864171686448,3600.004369,5
3,12,scip,2,1.474935e6,0.0,2564.316175,5
3,12,scip,3,1.475215e6,0.0036995285786228494,3600.000693,5
3,12,scip,4,1.47493e6,0.0,2837.171021,5
3,13,scip,0,3.313365e6,47.60874408650101,3600.376408,0
3,13,scip,1,3.313365e6,47.60451241780139,3600.062084,0
3,13,scip,2,3.313365e6,47.60451241780139,3600.022361,0
3,13,scip,3,3.313365e6,47.60451241780139,3600.035865,0
3,13,scip,4,3.313365e6,47.60451241780139,3600.012191,0
3,14,scip,0,1.754991e6,6.04699466810716,3600.001251,0
3,14,scip,1,2.158443e6,7.781163843835861,3600.002136,0
3,14,scip,2,1.794012e6,6.286523771980168,3600.001789,0
3,14,scip,3,2.075472e6,7.405450222319864,3600.011597,0
3,14,scip,4,1.419676e6,4.746995717840672,3600.016191,0
3,15,scip,0,96920.0,0.10623791210547272,3600.003359,0
3,15,scip,1,91440.0,0.0,3437.663131,0
3,15,scip,2,91440.0,0.0,2682.721326,0
3,15,scip,3,91440.0,0.0,3081.01004,0
3,15,scip,4,91440.0,0.0,2709.587383,0
3,16,scip,0,207445.0,0.0,65.748781,0
3,16,scip,1,207665.0,0.0,15.298999,0
3,16,scip,2,207329.0,0.0,18.461772,0
3,16,scip,3,207665.0,0.0,15.447541,0
3,16,scip,4,207665.0,0.0,38.818658,0
3,19,scip,0,-1.76967251e8,0.0,54.629278,0
3,19,scip,1,-1.76967251e8,0.0,113.51767,0
3,19,scip,2,-1.76967251e8,0.0,48.148027,0
3,19,scip,3,-1.76967251e8,0.0,55.907749,0
3,19,scip,4,-1.76967251e8,0.0,64.737711,0
3,20,scip,0,-2.12285847e8,0.0,166.829405,0
3,20,scip,1,-2.12285847e8,0.0,158.462083,0
3,20,scip,2,-2.12285847e8,0.0,99.75329,0
3,20,scip,3,-2.12285847e8,0.0,140.012723,0
3,20,scip,4,-2.12285847e8,0.0,88.096164,0
3,21,scip,0,52200.0,0.0,10.711825,0
3,21,scip,1,52200.0,0.0,20.678184,0
3,21,scip,2,52200.0,0.0,17.139639,0
3,21,scip,3,52200.0,0.0,15.018905,0
3,21,scip,4,52200.0,0.0,99.584761,0
3,22,scip,0,52200.0,0.0,426.530521,34
3,22,scip,1,52200.0,0.0,586.317598,34
3,22,scip,2,52199.99999999997,0.0,635.002006,34
3,22,scip,3,52200.0,0.0,333.110382,34
3,22,scip,4,52200.0,0.0,191.667381,34
3,23,scip,0,36134.0,0.0,0.388318,294
3,23,scip,1,36134.0,0.0,0.361352,294
3,23,scip,2,36134.0,0.0,0.393361,294
3,23,scip,3,36134.0,0.0,0.382847,294
3,23,scip,4,36134.0,0.0,0.354553,294
3,24,scip,0,322756.0,0.0,0.63129,49
3,24,scip,1,322756.0,0.0,1.915373,49
