bit_num,problem,mode,seed,Objective value,Primal-Dual Gap,Solving time,num_generators
4,0,scip,0,-1.277271e6,0.0,78.507073,1500
4,0,scip,1,-1.2838069999999998e6,0.0,70.867053,1500
4,0,scip,2,-1.2775769999999998e6,0.0,51.509086,1500
4,0,scip,3,-1.277735e6,0.0,48.136209,1500
4,0,scip,4,-1.2777350000000002e6,0.0,69.541762,1500
4,1,scip,0,-1.160623e6,0.0,29.710153,1500
4,1,scip,1,-1.162105e6,0.0,34.021757,1500
4,1,scip,2,-1.161251e6,0.0,30.967499,1500
4,1,scip,3,-1.1586350000000014e6,0.0,27.502471,1500
4,1,scip,4,-1.158393e6,0.0,32.862984,1500
4,2,scip,0,-1.1718499999999998e6,0.0,97.950969,1500
4,2,scip,1,-1.1675720000000405e6,0.0,90.090597,1500
4,2,scip,2,-1.166335e6,0.0,86.662008,1500
4,2,scip,3,-1.163929e6,0.0,80.736372,1500
4,2,scip,4,-1.172478e6,0.0,76.134597,1500
4,3,scip,0,-1.919864e6,0.0,47.010083,1151
4,3,scip,1,-1.919864e6,0.0,36.459678,1151
4,3,scip,2,-1.9198639999999995e6,0.0,35.556441,1151
4,3,scip,3,-1.919864e6,0.0,30.596436,1151
4,3,scip,4,-1.919864e6,0.0,29.488756,1151
4,4,scip,0,-1.181952e6,0.0,113.00317,1500
4,4,scip,1,-1.185263e6,0.0,111.278068,1500
4,4,scip,2,-1.174696e6,0.0,209.60716,1500
4,4,scip,3,-1.176784e6,0.0,117.441199,1500
4,4,scip,4,-1.174592e6,0.0,125.684799,1500
4,5,scip,0,75547.0,0.0,1.022957,34
4,5,scip,1,75547.0,0.0,0.736659,34
4,5,scip,2,75547.0,0.0,1.063198,34
4,5,scip,3,75547.0,0.0,0.731646,34
4,5,scip,4,75547.0,0.0,0.660597,34
4,6,scip,0,612933.0,0.0,0.344437,0
4,6,scip,1,612936.0,0.0,0.348989,0
4,6,scip,2,612936.0,0.0,0.367876,0
4,6,scip,3,612936.0,0.0,0.363065,0
4,6,scip,4,612936.0,0.0,0.346742,0
4,7,scip,0,-3.919238e6,0.01798909530020073,3600.002465,0
4,7,scip,1,-3.90682e6,0.021339343828977782,3600.001314,0
4,7,scip,2,-3.919326e6,0.01733637221529442,3600.000523,0
4,7,scip,3,-3.91183e6,0.021034048771422995,3600.013687,0
4,7,scip,4,-3.919564e6,0.01838818487187263,3600.002134,0
4,8,scip,0,-4.927939e6,0.022517862078442506,3600.019089,2
4,8,scip,1,-7.7496483e7,1.0e20,3600.019445,2
4,8,scip,2,-8.2956229e7,1.0e20,3600.004715,2
4,8,scip,3,-4.9584612558675e6,1.0e20,3600.026754,2
4,8,scip,4,-8.320353e7,1.0e20,3600.004535,2
4,9,scip,0,-8.3324083e7,1.0e20,3600.487832,3
4,9,scip,1,-8.3324083e7,1.0e20,3600.137943,3
4,9,scip,2,-8.3324083e7,1.0e20,3601.343325,3
4,9,scip,3,-8.3324083e7,1.0e20,3600.032327,3
4,9,scip,4,-8.3324083e7,1.0e20,3600.011208,3
4,10,scip,0,-1.2358388e7,0.0,3330.590454,5
4,10,scip,1,-1.2352605e7,0.0,1624.706512,5
4,10,scip,2,-1.2382126e7,0.0,1535.974572,5
4,10,scip,3,-1.2362611e7,0.0,1264.685615,5
4,10,scip,4,-1.2363862e7,0.0,692.085433,5
4,11,scip,0,-9.7467312e7,1.0e20,3600.01277,3
4,11,scip,1,-6.119090000757924e6,1.0e20,3600.014222,3
4,11,scip,2,-6.078153e6,0.030589639836687103,3600.025671,3
4,11,scip,3,-9.2252383e7,1.0e20,3600.024804,3
4,11,scip,4,-6.092407e6,0.030871782286212884,3600.002855,3
4,12,scip,0,1.474689e6,0.0043804088714238095,3600.007463,4
4,12,scip,1,1.474777e6,0.0,2872.167708,4
4,12,scip,2,1.474707e6,0.0031820888133562144,3600.038551,4
4,12,scip,3,1.474809e6,0.002326005544942658,3600.001328,4
4,12,scip,4,1.474856e6,0.0,2802.379718,4
4,13,scip,0,1.291256e6,17.362292806136605,3600.011603,0
4,13,scip,1,3.313365e6,46.41721741471391,3600.036467,0
4,13,scip,2,3.313365e6,46.41721741471391,3600.012302,0
